State,State code,Order Date,Expiration date
Alabama,AL,4/3/2020,4/30/2020
Alaska,AK,3/27/2020,4/24/2020
Arizona,AZ,3/30/2020,5/15/2020
California,CA,3/19/2020,None
Colorado,CO,3/25/2020,4/26/2020
Connecticut,CT,3/20/2020,5/20/2020
Delaware,DE,3/22/2020,5/31/2020
District of Columbia,DC,3/30/2020,5/29/2020
Florida,FL,4/1/2020,5/4/2020
Georgia,GA,4/2/2020,4/30/2020
Hawaii,HI,3/23/2020,7/17/2020
Idaho,ID,3/25/2020,4/30/2020
Illinois,IL,3/20/2020,5/29/2020
Indiana,IN,3/23/2020,5/18/2020
Kansas,KS,3/28/2020,5/3/2020
Kentucky,KY,3/22/2020,none
Louisiana,LA,3/22/2020,5/15/2020
Maine,ME,3/31/2020,5/31/2020
Maryland,MD,3/30/2020,5/13/2020
Massachusetts,MA,3/24/2020,6/8/2020
Michigan,MI,3/23/2020,6/1/2020
Minnesota,MN,3/25/2020,5/18/2020
Mississippi,MS,4/1/2020,4/27/2020
Missouri,MO,4/3/2020,5/3/2020
Montana,MT,3/26/2020,4/27/2020
Nevada,NV,3/31/2020,5/8/2020
New Hampshire,NH,3/26/2020,6/16/2020
New Jersey,NJ,3/21/2020,6/9/2020
New Mexico,NM,3/23/2020,5/31/2020
New York,NY,3/20/2020,6/8/2020
North Carolina,NC,3/27/2020,5/20/2020
Ohio,OH,3/22/2020,5/20/2020
Oklahoma,OK,4/1/2020,4/30/2020
Oregon,OR,3/23/2020,5/14/2020
Pennsylvania,PA,4/1/2020,6/4/2020
Rhode Island,RI,3/30/2020,5/8/2020
South Carolina,SC,4/6/2020,5/4/2020
South Dakota,SD,3/23/2020,4/28/20
Tennessee,TN,3/30/2020,4/29/2020
Texas,TX,3/31/2020,4/30/2020
Utah,UT,3/27/2020,5/1/2020
Vermont,VT,3/24/2020,5/15/2020
Virginia,VA,3/30/2020,6/4/2020
Washington,WA,3/23/2020,5/31/2020
West Virginia,WV,3/23/2020,5/4/2020
Wisconsin,WI,3/24/2020,5/13/2020
