state,state_full,date_stay_home,date_travel_quarentine,date_nonessential_close,date_large_gather_ban,date_school_close,date_rest_limit,primary_delay,date_emergency_dec,date_end_stay_home,date_end_travel_quarentine,date_open_nonessential,date_end_large_gather_ban,date_end_school_close,date_end_rest_limit,date_mask_required,mask_required,shelter_issued,stay_home_order,travel_quarentine_issued,nonessential_close_order,large_gather_ban_issued,school_closures,rest_limit_issued,emergency_declaration,end_stay_home,end_travel_quarentine,open_nonessential,end_large_gather_ban,schools_open_in_person,end_rest_limit
NY,New York,2020-03-22,2020-06-25 00:00:00,2020-03-22,2020-03-22,2020-03-20,2020-03-16,Canceled,2020-03-07,2020-06-27,,2020-05-14,2020-05-22,,2020-06-22,2020-04-15,Entire State,1,1,1,1,1,1,1,1,1,0,1,1,0,1
MA,Massachusetts,2020-03-22,2020-03-27 00:00:00,2020-03-24,2020-03-17,2020-03-16,2020-03-17,,2020-03-10,2020-05-18,,2020-05-19,,,2020-06-08,2020-05-06,Entire State,1,1,1,1,1,1,1,1,1,0,1,0,0,1
RI,Rhode Island,2020-03-28,2020-03-28 00:00:00,2020-03-30,2020-03-28,2020-03-23,2020-03-17,Postponed,2020-03-09,2020-05-09,,2020-05-09,2020-06-01,,2020-05-30,2020-04-20,Entire State,1,1,1,1,1,1,1,1,1,0,1,1,0,1
NH,New Hampshire,2020-03-27,,2020-03-27,2020-03-16,2020-03-16,2020-03-16,,2020-03-13,2020-06-15,,2020-05-11,,,2020-05-18,,Parts of State,1,1,0,1,1,1,1,1,1,0,1,0,0,1
ME,Maine,2020-04-01,2020-04-03 00:00:00,2020-03-25,2020-03-18,2020-04-02,2020-03-18,Postponed,2020-03-15,,,2020-05-01,2020-06-01,,2020-06-01,2020-05-01,Entire State,1,1,1,1,1,1,1,1,0,0,1,1,0,1
VT,Vermont,2020-03-24,2020-03-30 00:00:00,2020-03-25,2020-03-17,2020-03-18,2020-03-17,,2020-03-13,2020-05-15,2020-06-08,2020-04-20,2020-06-01,,2020-05-22,2020-08-01,Entire State,1,1,1,1,1,1,1,1,1,1,1,1,0,1
CT,Connecticut,2020-03-23,2020-06-25 00:00:00,2020-03-23,2020-03-16,2020-03-17,2020-03-16,Postponed,2020-03-10,2020-05-20,,2020-05-20,2020-06-01,,2020-05-20,2020-04-17,Entire State,1,1,1,1,1,1,1,1,1,0,1,1,0,1
NJ,New Jersey,2020-03-21,2020-06-25 00:00:00,2020-03-21,2020-03-16,2020-03-18,2020-03-16,Postponed,2020-03-09,2020-06-09,,2020-05-18,2020-05-13,,2020-06-15,2020-04-10,Entire State,1,1,1,1,1,1,1,1,1,0,1,1,0,1
PA,Pennsylvania,2020-04-01,,2020-03-21,2020-04-01,2020-03-16,2020-03-17,,2020-03-06,2020-05-08,,2020-05-08,2020-05-08,,2020-05-29,2020-04-17,Entire State,1,1,0,1,1,1,1,1,1,0,1,1,0,1
DE,Delaware,2020-03-24,2020-03-30 00:00:00,2020-03-24,2020-03-16,2020-03-16,2020-03-16,Postponed,2020-03-12,2020-06-01,2020-06-01,2020-05-08,2020-06-15,,2020-06-01,2020-05-01,Entire State,1,1,1,1,1,1,1,1,1,1,1,1,0,1
